title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
(Senior) Front End Developer,"reactjs, continuous-integration, tdd, angularjs, frontend","Visa sponsor, Paid relocation",Vietnam,Ho Chi Minh City,Quoine Corporation,2018-11-15 03:42:48.060610,$,6,16,11.0
DevOps Engineer,"heroku, amazon-ec2, amazon-cloudwatch, amazon-glacier, c++","Visa sponsor, Paid relocation",Vietnam,Ho Chi Minh City,Quoine Corporation,2018-11-15 03:42:48.060610,$,11,21,16.0
Java + AWS Back-End Engineer: Critical Infrastructure Solutions!,"java, apache-kafka, cassandra, amazon-web-services, jenkins",,Australia,Canberra,Instaclustr,2018-11-15 02:42:48.060610,A$,16,26,21.0
Application Performance Analyst,"sql, tsql",,"Massachusetts, EUA",Brockton,"W.B. Mason Company, Inc.",2018-11-15 01:42:48.060610,-,0,0,0.0
Senior DevOps & Software Engineers For Vodafone Australia,"amazon-web-services, java, devops, ruby, node.js",,Australia,Sydney,Hays plc,2018-11-15 01:42:48.060610,-,0,0,0.0
Software Engineer,".net, javascript, angularjs, asp.net",Paid relocation,"Illinois, EUA",Rolling Meadows,careerbuilder,2018-11-15 01:42:48.060610,-,0,0,0.0
Mid-Senior Full Stack Developer,"mongodb, elasticsearch, angularjs, javascript, c#",,"Pensilvânia, EUA",Horsham,Vertmarkets Inc.,2018-11-15 01:42:48.060610,-,0,0,0.0
Wavy | Analista de Suporte,"ruby, javascript, python, shell",Paid relocation,Brazil,Campinas,Wavy,2018-11-15 00:42:48.076233,-,0,0,0.0
PlayKids | Desenvolvedor Front-end,"javascript, reactjs, css, html",Paid relocation,Brazil,Poços de Caldas,PlayKids,2018-11-15 00:42:48.076233,-,0,0,0.0
iFood | DevOps - Sec Ops,"java, linux, spring, amazon-web-services, devops",Paid relocation,Brazil,Campinas,iFood,2018-11-15 00:42:48.076233,-,0,0,0.0
iFood | Desenvolvedor Full-stack,"javascript, css, reactjs, html",Paid relocation,Brazil,Campinas,iFood,2018-11-15 00:42:48.076233,-,0,0,0.0
"Corporate Strategy, Mergers & Acquisitions Internship","finance, banking",,"Califórnia, EUA",Costa Mesa,Experian Limited,2018-11-14 23:42:48.591822,-,0,0,0.0
Sympla | Desenvolvedor Front-end,"javascript, angularjs, html, css",Paid relocation,Brazil,Belo Horizonte,Sympla,2018-11-15 00:42:48.591822,-,0,0,0.0
Sympla | Engenheiro de Software - Big Data,"sql, python, java, amazon-redshift, postgresql",Paid relocation,Brazil,Belo Horizonte,Sympla,2018-11-15 00:42:48.607447,-,0,0,0.0
Sympla | Desenvolvedor Backend Sênior,"python, php, java, api, ruby",Paid relocation,Brazil,Belo Horizonte,Movile,2018-11-15 00:42:48.607447,-,0,0,0.0
iFood | Desenvolvedor Front-end,"osx, javascript, css, html, reactjs",Paid relocation,Brazil,Osasco,iFood,2018-11-15 00:42:48.607447,-,0,0,0.0
Zoop | Desenvolvedor Full-stack Sênior,"javascript, amazon-web-services, api, html, python",Paid relocation,Brazil,Barra da Tijuca,Movile,2018-11-15 00:42:48.607447,-,0,0,0.0
iFood | Desenvolvedor Android Sênior,"java, android, kotlin, android-studio",Paid relocation,Brazil,Campinas,iFood,2018-11-15 00:42:48.607447,-,0,0,0.0
iFood | Desenvolvedor Backend Pleno/Sênior,"spring, rest, spring-mvc, java",Paid relocation,Brazil,Campinas,Movile,2018-11-15 00:42:48.607447,-,0,0,0.0
Node / Javascript Developer,"reactjs, javascript, css, node.js, node-modules",,Australia,Melbourne,Milestone IT,2018-11-15 00:42:48.607447,A$,2,35,18.5
iFood | Desenvolvedor iOS Sênior,"objective-c, ios, swift, storyboard, cocoapods",Paid relocation,Brazil,Campinas,iFood,2018-11-14 23:42:48.607447,-,0,0,0.0
Zoop | Desenvolvedor Full-stack Pleno,"linux, amazon-web-services, c#, java, sdk",Paid relocation,Brazil,Barra da Tijuca,Zoop,2018-11-14 23:42:48.607447,-,0,0,0.0
Zoop | Desenvolvedor Senior Python,"python, javascript, amazon-web-services, java, ruby-on-rails",Paid relocation,Brazil,Barra da Tijuca,Zoop,2018-11-14 23:42:48.607447,-,0,0,0.0
Zoop | Desenvolvedor Java Sênior,"java, amazon-web-services, cloud, postgresql, mongodb",Paid relocation,Brazil,Barra da Tijuca,Zoop,2018-11-14 23:42:48.607447,-,0,0,0.0
PlayKids | Backend Developer,"java, mongodb, cassandra, spring",Paid relocation,Brazil,Campinas,Movile,2018-11-14 23:42:48.623071,-,0,0,0.0
Wavy | Desenvolvedor Backend Pleno,"java, java-ee, spring, redis, mongodb",Paid relocation,Brazil,Campinas,Movile,2018-11-14 23:42:48.623071,-,0,0,0.0
