title,tags,perks,country,location,company,posted,moeda_original,salary_min,salary_max,salary_mean
3d Software Developer,"c++, unreal-engine4, game-physics, multiplayer, game-engine",,"Califórnia, EUA",San Jose,"RightHook, Inc.",2018-11-14 15:42:50.966542,-,0,0,0.0
Android Developer for George (m/f),"android, java, kotlin, rest, git",,Áustria,Wien,Erste Group,2018-11-14 14:42:50.966542,€,16,27,21.5
Front-end Developer,"javascript, php, reactjs, d3.js, bootstrap-4",,"Maryland, EUA",Annapolis Junction,Asymmetrik,2018-11-14 14:42:50.982165,$,22,45,33.5
Software Engineer - DevOps,"jenkins, docker, continuous-integration, python",,Alemanha,Berlin,dunnhumby Ltd.,2018-11-14 14:42:50.982165,-,0,0,0.0
"(Senior) Product Manager, Swiftype","javascript, html, css, elasticsearch",Remote,,,Elastic,2018-11-14 14:42:50.982165,-,0,0,0.0
Senior Software Engineer,"javascript, elasticsearch, amazon-s3, apache-spark, hadoop",,"Maryland, EUA",Annapolis Junction,Asymmetrik,2018-11-14 14:42:50.982165,$,37,45,41.0
Mobile QA Engineer (iOS & Android),"android, ios, objective-c, swift, ruby",Paid relocation,Reino Unido,London,Badoo,2018-11-14 14:42:50.982165,-,0,0,0.0
Desenvolvedor Backend,"java, api, flask-restful, spring",,Brazil,Porto Alegre,Movile,2018-11-14 14:42:50.982165,-,0,0,0.0
Senior Developer - C++ / D,"c++, c, d, git",,Alemanha,Berlin,dunnhumby Ltd.,2018-11-14 14:42:50.982165,-,0,0,0.0
Lead Developer - C++/D,"c++, c, d, linux",,Alemanha,Berlin,dunnhumby Ltd.,2018-11-14 14:42:50.982165,-,0,0,0.0
Digital Java Software Engineer Lead,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 14:42:50.982165,-,0,0,0.0
Java Software Engineer,"java, python, sql",,Reino Unido,Glasgow,JP Morgan Chase,2018-11-14 14:42:50.982165,-,0,0,0.0
Software Engineering Lead,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 14:42:50.982165,-,0,0,0.0
Senior Engineer delivering innovative solutions on a world-class platform,"java, nodejs, go, tdd, aws",,Bulgaria,Sofia,Financial Times,2018-11-14 14:42:50.997789,-,0,0,0.0
Mobile Applications Architect,"mobile, reactjs, ios, angular",Paid relocation,"Carolina do Norte, EUA",Greensboro,Market America / Shop.com,2018-11-14 14:42:50.997789,$,34,45,39.5
Ingénieur développement (h/f) - Développement,"agile, scrum, java",,França,Bron,SFR,2018-11-14 14:42:50.997789,-,0,0,0.0
"Full Stack Developer (C#, MVC, WebAPI, Angular)","c#, asp.net-core, angular, asp.net-web-api, entity-framework",Paid relocation,"Virgínia, EUA",Richmond,Afton Chemical,2018-11-14 14:42:50.997789,-,0,0,0.0
DevOps Engineer (f/m),"node.js, automation, cloud, python, ruby",,Alemanha,Saarbrücken,IMC AG,2018-11-14 13:42:50.997789,-,0,0,0.0
Digital Java Software Engineer Lead,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 13:42:51.575875,-,0,0,0.0
Senior iOS Engineer,"ios, objective-c, mobile, api",On-site and limited remote,"Califórnia, EUA",Menlo Park,InRhythm,2018-11-14 13:42:51.575875,-,0,0,0.0
JavaScript/HTML Developer - Downtown Montreal,"agile, javascript, reactjs, html5, css",,"QC, Canada",Montréal,Adaptive Financial Consulting,2018-11-14 13:42:51.575875,-,0,0,0.0
Sr Front End Web developer,"reactjs, ios, objective-c, javascript, angular",Paid relocation,"Carolina do Norte, EUA",Greensboro,Market America / Shop.com,2018-11-14 13:42:51.575875,-,0,0,0.0
"Software Engineer, University Graduate","go, c++, c, python, javascript",Paid relocation,"Califórnia, EUA",Mountain View,Google,2018-11-14 13:42:51.591499,-,0,0,0.0
Operations Engineer,"saas, amazon-web-services, windows-server-2012, sql-server",,"Virgínia, EUA",Arlington,Higher Logic,2018-11-14 13:42:51.591499,$,22,29,25.5
PHP Developer,"php, symfony2, oop, java",,Spain,Marbella,Telesero,2018-11-14 13:42:51.591499,$,5,19,12.0
CCB EnA Front End UI Software Engineer,"java, python, sql",,"Nova Jersey, EUA",Jersey City,JP Morgan Chase,2018-11-14 13:42:51.591499,-,0,0,0.0
Digital Java Software Engineer,"java, python, sql",,"Delaware, EUA",Wilmington,JP Morgan Chase,2018-11-14 13:42:51.591499,-,0,0,0.0
Software Engineering - Accessibility QA,"java, python, sql",,"Ohio, EUA",Columbus,JP Morgan Chase,2018-11-14 13:42:51.591499,-,0,0,0.0
Software Engineering - Java,"java, python, sql",,"Flórida, EUA",Tampa,JP Morgan Chase,2018-11-14 13:42:51.591499,-,0,0,0.0
Wealth Management/CWM Technology - Java/Full Stack Software Engineer,"java, python, sql",,Reino Unido,Glasgow,JP Morgan Chase,2018-11-14 13:42:51.591499,-,0,0,0.0
Re-Entry Technology Program,"python, java, c#, .net, c",,Reino Unido,Bournemouth,JPMorgan Chase & Co.,2018-11-14 13:42:51.591499,-,0,0,0.0
Data Engineer (Python),"rest, python, linux, bigdata, data-visualization, sysadmin",Paid relocation,França,Paris,Back Market,2018-11-14 13:42:51.591499,€,17,24,20.5
Back-End Engineer Python/GO H/F,"python, go, automated-tests, django",Paid relocation,França,Paris,Back Market,2018-11-14 13:42:51.591499,€,16,24,20.0
Java Software Engineer. Evangelist. Enthusiast.(m/f/d),"java, spring-boot, sql, tomcat, nosql",,Alemanha,München,financial.com AG,2018-11-14 13:42:51.607122,-,0,0,0.0
Junior/Mid C# Developer,"c#, .net, unit-testing, sql, reactjs",,Reino Unido,Manchester,Sorted Group Limited,2018-11-14 13:42:51.607122,£,10,15,12.5
Software Engineer III - Cesium.js Developer,"cesium, reactjs, redux, node.js, jest",,"Massachusetts, EUA",Cambridge,Charles River Analytics Inc,2018-11-14 13:42:51.607122,-,0,0,0.0
DevOps H/F,"amazon-web-services, python, docker, automation, ansible",,França,Paris,Back Market,2018-11-14 13:42:51.607122,€,16,24,20.0
Scientist II - Socio-Cognitive Systems,"r, c, c++, python, matlab",,"Massachusetts, EUA",Cambridge,Charles River Analytics Inc,2018-11-14 13:42:51.607122,-,0,0,0.0
Software Engineer PHP,"php, sql, mysql, javascript",Paid relocation,Alemanha,Leipzig,trivago N.V.,2018-11-14 13:42:51.607122,-,0,0,0.0
Software Engineer - Java,"java, tdd, microservices, bdd, agile",On-site and limited remote,Reino Unido,London,Vodafone,2018-11-14 13:42:51.607122,£,20,37,28.5
Softwareentwickler Applikationssoftware C++ (m/w) für Gasmessgeräte,c++,,Alemanha,Lübeck,Drägerwerk AG & Co. KGaA,2018-11-14 13:42:51.607122,€,21,26,23.5
"Full Stack Developer (PHP, JS, Vue, HTML, CSS)","php, css, html5, javascript, vue.js","On-site and limited remote, Paid relocation",Reino Unido,London,Limesharp,2018-11-14 13:42:51.607122,£,12,19,15.5
Senior Front-End Developer,"angularjs, javascript, css, sass",Paid relocation,"Pensilvânia, EUA",Malvern,EPAM Systems,2018-11-14 13:42:51.607122,-,0,0,0.0
Senior Python Engineer,"java, python, sql",,"Nova Jersey, EUA",Jersey City,JP Morgan Chase,2018-11-14 13:42:52.143150,-,0,0,0.0
Backend Software Engineer,"c++, unix","Visa sponsor, Paid relocation",Alemanha,München,PPRO Group,2018-11-14 13:42:52.143150,-,0,0,0.0
Software Engineer at Root Insurance (raised over $175M in Venture Capital),"javascript, ruby-on-rails, react-native, ruby",Paid relocation,"Ohio, EUA",Columbus,ROOT,2018-11-14 13:42:52.143150,$,22,48,35.0
Software Engineer - OpRisk/ORCAP,"java, python, sql",,Reino Unido,Glasgow,JP Morgan Chase,2018-11-14 13:42:52.143150,-,0,0,0.0
Fullstack Developer - Fast Growing eCommerce Platform,"javascript, java, spring-mvc, mongodb-.net-driver, amazon-web-services","Visa sponsor, Paid relocation",Reino Unido,Kings Langley,mixam,2018-11-14 13:42:52.143150,£,20,41,30.5
(Senior) Frontend Engineer - React.js,"reactjs, javascript, node.js, html, css","Visa sponsor, Paid relocation",Alemanha,Berlin,SumUp,2018-11-14 13:42:52.143150,-,0,0,0.0
"Frontend Developer (React, Redux, Three, Material)","reactjs, three.js, d3.js, redux, css",Paid relocation,"Ohio, EUA",Dayton,Tenet3,2018-11-14 13:42:52.143150,$,25,41,33.0
"WANTED: Web-/Frontend Developer (HTML, CSS, JS) for our comparison portal","html, javascript, css, angular, web-services",,Alemanha,Heidelberg,Verivox GmbH,2018-11-14 13:42:52.143150,-,0,0,0.0
Fullstack Developer passionate about JavaScript,"node.js, typescript, angular",Paid relocation,Alemanha,Düsseldorf,SMS digital GmbH,2018-11-14 13:42:52.143150,-,0,0,0.0
SENIOR USER EXPERIENCE DESIGNER,"user-experience, user-interface, project-management",,"Califórnia, EUA",Cupertino,Critical Mass,2018-11-14 13:42:52.143150,-,0,0,0.0
Game Server Programmer,server,Remote,"Massachusetts, EUA",Cambridge,funkitron,2018-11-14 13:42:52.143150,-,0,0,0.0
Software Test Engineer,"qa, testing, .net, sql-server",,Reino Unido,Bristol,vouchercloud,2018-11-14 13:42:52.158792,-,0,0,0.0
Scala-Entwickler für Sportwetten(m/w),"scala, akka, cassandra",,Alemanha,Dortmund,agido GmbH,2018-11-14 13:42:52.158792,€,16,27,21.5
Frontend / Fullstack developer,"javascript, reactjs, redux, typescript, flow","Visa sponsor, Paid relocation",Finland,Helsinki,Smartly.io,2018-11-14 13:42:52.158792,€,15,27,21.0
C# Developer with OpenText Content Suite Experience,"c#, sql-server, asp.net",,"Washington, EUA",Washington,IQBG,2018-11-14 13:42:52.158792,-,0,0,0.0
Senior Full Stack Engineer (Java/JavaScript) for Retail Operations,"java, rest, spring, javascript","Visa sponsor, Paid relocation",Alemanha,Berlin,Zalando SE,2018-11-14 13:42:52.158792,-,0,0,0.0
Solution Architect Online,"scala, continuous-integration, sitecore, angular",,Holanda,'s Hertogenbosch,innogy,2018-11-14 13:42:52.158792,-,0,0,0.0
Sr. Full-Stack Engineer (Java),"oracle, rest, api, java, cloud",,"Massachusetts, EUA",Wellesley,Eagle Investment Systems,2018-11-14 13:42:52.158792,$,37,45,41.0
JS/Web | Sr. Developer | Bangalore,"javascript, react-native, polymer, html5, css3",Paid relocation,India,Bengaluru,Wissen,2018-11-14 13:42:52.158792,₹,2,11,6.5
User Interface (frontend) Developer (software engineer),"java, docker, jenkins, python, scala",,Alemanha,Berlin,Ultra Tendency,2018-11-14 13:42:52.158792,-,0,0,0.0
Seasoned DevOps/ SRE,"python, devops, amazon-web-services, magento, linux",Remote,,,Platform.sh,2018-11-14 13:42:52.158792,-,0,0,0.0
Ingénieur C#.Net à la recherche de projets stratégiques en Finance,"sql, c#.net",,França,Paris,GLOBAL MARKET SOLUTIONS,2018-11-14 13:42:52.174415,€,10,22,16.0
C++ and Qt software developer,"c++, qt",,Reino Unido,London,MXX Music,2018-11-14 13:42:52.174415,£,24,37,30.5
Developer Mobile (iOS),"ios, objective-c, swift","Visa sponsor, Paid relocation",Alemanha,München,CodeForward,2018-11-14 13:42:52.174415,€,19,27,23.0
Senior Full Stack Engineer (Python/React) for Retail Operations,"python, rest, aws, continuous-integration, reactjs","Visa sponsor, Paid relocation",Alemanha,Berlin,Zalando SE,2018-11-14 13:42:52.174415,-,0,0,0.0
Senior Full Stack Developer - Java Virtual Machine,"java, reactjs, mysql, css, javascript",,Reino Unido,Manchester,Jaguar Land Rover,2018-11-14 13:42:52.814997,£,16,23,19.5
Senior Backend Engineer (Java/Kotlin),"java, kotlin, amazon-web-services, rest","Visa sponsor, Paid relocation",Alemanha,Berlin,Zalando SE,2018-11-14 13:42:52.814997,-,0,0,0.0
"Enterprise Architect, Amherst, OH","design, sap, s4, hana",,"Ohio, EUA",Amherst,Nordson Corporation,2018-11-14 13:42:52.814997,-,0,0,0.0
Senior DevOps,"jenkins, devops, docker-swarm, node, amazon-web-services",,Portugal,Porto,Applied Blockchain,2018-11-14 13:42:52.814997,-,0,0,0.0
Senior Site Reliability Engineer,"ansible, terraform, linux, rhel, kubernetes, sysadmin","Visa sponsor, Paid relocation",Finland,Helsinki,RELEX,2018-11-14 13:42:52.814997,-,0,0,0.0
Softwareentwickler (m/w),sql,,Alemanha,Berlin,KSA Kommunaler Schadenausgleich,2018-11-14 13:42:52.814997,-,0,0,0.0
"WordPress/JavaScript Developer, (Oslo or London)","wordpress, javascript",,Noruega,Oslo,Kahoot!,2018-11-14 13:42:52.814997,-,0,0,0.0
"Backend Engineer (Scala, Python, Go)","python, java, cloud, statistics, scala",Paid relocation,,Singapore,LeadIQ,2018-11-14 13:42:52.830613,-,0,0,0.0
Backend Engineer in Berlin,"groovy, spring, java, grails","Visa sponsor, Paid relocation",Alemanha,Berlin,Zenjob,2018-11-14 13:42:52.830613,-,0,0,0.0
Seasoned Technical Writer (native English speaker),"documentation, git, markdown, html, devops",Remote,,,Platform.sh,2018-11-14 13:42:52.830613,-,0,0,0.0
We are looking to hire enthusiastic graduates with a passion for software,"android, embedded, linux, open-source, jit","On-site and limited remote, Paid relocation",Reino Unido,Cambridge,Arm,2018-11-14 13:42:52.830613,£,13,15,14.0
We are looking for graduate engineers passionate about shaping technology,"c++, design, c, unix, gpu","On-site and limited remote, Paid relocation",Reino Unido,Cambridge,Arm,2018-11-14 13:42:52.830613,£,13,15,14.0
Senior Android Developer,"android, mobile, design, android-studio",,Egypt,Cairo,Vodafone Egypt,2018-11-14 13:42:52.830613,-,0,0,0.0
Cloud DevOps Database Services Analyst (MONGO),"mongo, sysadmin",,"Flórida, EUA",Tampa,Deloitte,2018-11-14 13:42:52.830613,-,0,0,0.0
Lead Developer (w/m) Java | Team Retouren,"java, spring-boot, docker, jenkins, oracle",,Alemanha,Hamburg,Otto (GmbH & Co KG),2018-11-14 13:42:52.830613,-,0,0,0.0
Cloud Software Engineer (w/m) Java/Kotlin | Team Mobile Lab,"java, javascript, amazon-web-services, kotlin, groovy",,Alemanha,Hamburg,Otto (GmbH & Co KG),2018-11-14 13:42:52.830613,-,0,0,0.0
(Senior) Hybris-Entwickler (m/w/d),"java, hybris, progressive-web-apps, spring","On-site and limited remote, Paid relocation",Alemanha,Leipzig,Smart Commerce SE,2018-11-14 13:42:52.830613,€,14,29,21.5
AWS IoT Ninja (m/f),"amazon-web-services, cloud, web-services, iot, platform",Paid relocation,França,Blagnac,AIRBUS,2018-11-14 13:42:52.846244,-,0,0,0.0
Full-Stack Entwickler (m/w/div),"java, javascript",,Alemanha,Berlin,MEDIAN Unternehmensgruppe,2018-11-14 13:42:52.846244,-,0,0,0.0
DevOps Engineer (m/f) for the worlds favorite online scheduling tool,"amazon-web-services, java, linux, go, kubernetes, sysadmin","Visa sponsor, Paid relocation",Alemanha,Berlin,Doodle,2018-11-14 13:42:52.846244,€,17,22,19.5
Lead Front End Engineer @ Berlin-based Adtech Startup [react.js],"redux, reactjs, javascript, webpack, flow","Visa sponsor, Paid relocation",Alemanha,Berlin,Opinary,2018-11-14 13:42:52.846244,€,23,27,25.0
Senior Fullstack Engineer for the worlds favorite online scheduling tool (m/f),"reactjs, agile, java, ecmascript-5, ecmascript-6","Visa sponsor, Paid relocation",Alemanha,Berlin,Doodle,2018-11-14 13:42:52.846244,€,21,29,25.0
Android Developer,"android, mobile",,Reino Unido,London,Yoti,2018-11-14 13:42:52.846244,£,16,25,20.5
Lead Data Scientist @ Berlin-based Adtech Startup [Python],"r, python, sql","Visa sponsor, Paid relocation",Alemanha,Berlin,Opinary,2018-11-14 13:42:52.846244,€,26,31,28.5
Java Software Engineer (m/f) for #1 Performance Monitoring Solution,java,"Visa sponsor, Paid relocation",Austria,Linz,Dynatrace Austria,2018-11-14 13:42:52.846244,-,0,0,0.0
Erfahrener Full-Stack Entwickler (m/w) – Ruby on Rails | eSport,"ruby-on-rails, postgresql, javascript, html5, css3",On-site and limited remote,Alemanha,Hamburg,MateCrate UG,2018-11-14 13:42:53.424313,-,0,0,0.0
Softwareentwickler Java (m/w),"java, spring, sql",,Alemanha,Karlsruhe,IT-Choice Software AG,2018-11-14 13:42:53.424313,-,0,0,0.0
Softwareentwickler mit Schwerpunkt Produktentwicklung (w/m),"c#, javascript, wpf, html5, java",,Alemanha,Bielefeld,Ceyoniq Technology GmbH,2018-11-14 13:42:53.439936,-,0,0,0.0
Freelancer: Erfahrener Full-Stack Entwickler (m/w) – Ruby on Rails | eSport,"ruby-on-rails, postgresql, javascript, html5, css3",On-site and limited remote,Alemanha,Hamburg,MateCrate UG,2018-11-14 13:42:53.439936,-,0,0,0.0
C++ Software Engineer / GNSS (w/m),"c++, c, git, bash, nmea",,Alemanha,Aachen,indurad GmbH,2018-11-14 13:42:53.439936,-,0,0,0.0
Fullstack Engineer with React (f/m/d),"reactjs, javascript, python, php, java","Visa sponsor, Paid relocation",Alemanha,Berlin,Delivery Hero SE,2018-11-14 13:42:53.439936,-,0,0,0.0
Senior Softwareentwickler für das Risikocontrolling (m/w/d),"c#, .net, sql, c++, oracle",,Alemanha,Karlsruhe,L-Bank,2018-11-14 13:42:53.439936,-,0,0,0.0
Full-Stack Entwickler (m/w) – Ruby on Rails | eSport,"ruby-on-rails, postgresql, javascript, html5, css3",On-site and limited remote,Alemanha,Hamburg,MateCrate UG,2018-11-14 13:42:53.439936,-,0,0,0.0
Scala developer opportunity at Equal Experts Pune (4 years to 10 years),"scala, oop, functional-programming",,India,Pune,Equal Experts,2018-11-14 13:42:53.439936,-,0,0,0.0
"Full Stack Developer - Mobile, Desktop, Web, & Cloud Apps to Model Satellites","reactjs, javascript, c#, ios, java",,"Maryland, EUA",Greenbelt,Orbit Logic,2018-11-14 13:42:53.439936,-,0,0,0.0
Application Developer / Fullstack,"java, tdd, domain-driven-design, oop, microservices",Paid relocation,India,Chennai,ThoughtWorks Inc.,2018-11-14 13:42:53.439936,-,0,0,0.0
Full Stack Engineer,"java, spring, spring-mvc, reactjs, dojo","Visa sponsor, Paid relocation",,Singapore,EPAM Systems,2018-11-14 13:42:53.439936,-,0,0,0.0
Senior Software Developer (m/w/d) für IBM Cognos BI,"cognos-bi, cognos-10, db2, redhat, sql",On-site and limited remote,Alemanha,Stuttgart,HALLESCHE Krankenversicherung a. G.,2018-11-14 13:42:53.455559,-,0,0,0.0
Senior Software Engineer Consultant,"reactjs, node.js, javascript, graphql",Visa sponsor,Reino Unido,London,Red Badger,2018-11-14 13:42:53.455559,£,22,33,27.5
C++ Software Design Engineer - Machine Control & Infrastructure,"c++, linux, python, clearcase, agile","Visa sponsor, Paid relocation",Holanda,Eindhoven,ASML,2018-11-14 13:42:53.455559,£,20,29,24.5
Platform Engineer,"cloud, amazon-web-services, web-services, docker, scala","Visa sponsor, Paid relocation",Alemanha,Berlin,Scout24,2018-11-14 13:42:53.455559,€,21,29,25.0
Senior Machine Learning Engineer,"machine-learning, python, sql, algorithms, bigdata, sysadmin",,Alemanha,München,Celonis SE,2018-11-14 13:42:53.455559,-,0,0,0.0
Embedded Software Engineer,"embedded, c, c++, python, linux",,Holanda,Maassluis,Lely,2018-11-14 13:42:53.455559,-,0,0,0.0
Funktionsentwickler Batterietechnik (m/w),"matlab, simulink, labview",,Alemanha,Allendorf (Eder),Viessmann Group,2018-11-14 13:42:53.455559,-,0,0,0.0
Anwendungsentwickler (m/w/d) für BPM-Systeme & Workflows,"bpm, java, jms, esb, bpel",,Alemanha,Stuttgart,HALLESCHE Krankenversicherung a. G.,2018-11-14 13:42:53.455559,-,0,0,0.0
Test Architect,"testing, automated-tests, python, jenkins",Paid relocation,Polônia,Kraków,Motorola Solutions,2018-11-14 13:42:53.455559,-,0,0,0.0
Senior Platform & DevOps Engineer,"kubernetes, amazon-web-services, go, gis","Visa sponsor, Paid relocation",Alemanha,Berlin,FATMAP DE GmbH,2018-11-14 13:42:53.455559,€,17,29,23.0
Cloud Engineer (m/f),"cloud, azure, docker, kubernetes, devops",,Alemanha,Bonn,LeanIX GmbH,2018-11-14 13:42:53.455559,-,0,0,0.0
Product Owner (Platform and API),"agile, saas, continuous-integration",Visa sponsor,Denmark,Copenhagen,Visma e-conomic,2018-11-14 13:42:53.471183,-,0,0,0.0
Senior Fullstack Engineer,"node.js, reactjs, ruby, javascript, saas","Visa sponsor, Paid relocation",Finland,Helsinki,Smartly.io,2018-11-14 13:42:53.471183,€,15,27,21.0
"Engineer 3, Software Dev & Engineering","web-services, project-management, design",,"Pensilvânia, EUA",Philadelphia,Comcast,2018-11-14 13:42:54.421988,-,0,0,0.0
UX-focused Frontend Web Developer,"user-experience, css, javascript, rest, web-component","On-site and limited remote, Paid relocation",Alemanha,Karlsruhe,Disy Informationssysteme GmbH,2018-11-14 13:42:54.437613,-,0,0,0.0
Developer Backend (Java),"java, spring, java-ee, mysql","Visa sponsor, Paid relocation",Alemanha,München,CodeForward,2018-11-14 13:42:54.437613,€,19,27,23.0
Backend Developer (Scala),"scala, agile, microservices, akka, postgresql",,Reino Unido,London,Clearscore,2018-11-14 13:42:54.437613,£,16,33,24.5
"Full Stack Developer, X1 Applications","agile, continuous-integration, design",,"Califórnia, EUA",Sunnyvale,Comcast,2018-11-14 13:42:54.437613,-,0,0,0.0
Network Engineer 3,"web-services, testing",,"Nova Jersey, EUA",Mount Laurel,Comcast,2018-11-14 13:42:54.437613,-,0,0,0.0
"Eng 3,Prodt Dev Engineering","testing, web-services, project-management",,"Nova Jersey, EUA",Moorestown,Comcast,2018-11-14 13:42:54.437613,-,0,0,0.0
"Mgr 1, Software Dev & Engineering","angularjs, cloud, agile",,"Pensilvânia, EUA",Philadelphia,Comcast,2018-11-14 13:42:54.437613,-,0,0,0.0
"MGR 2, Software Dev and Engineering",web-services,,"Pensilvânia, EUA",Philadelphia,Comcast,2018-11-14 13:42:54.437613,-,0,0,0.0
"Engineer 3, Software Dev & Engineering","web-services, project-management, design",,"Colorado, EUA",Englewood,Comcast,2018-11-14 13:42:54.437613,-,0,0,0.0
Cloudsolutions Developer (m/f) with focus on .Net Core / C#,"c#, .net, docker, azure",Paid relocation,Alemanha,Monheim am Rhein,EPLAN Software & Service GmbH & Co. KG,2018-11-14 13:42:54.437613,-,0,0,0.0
Senior DevOps Engineer,"cloud, linux, devops",Paid relocation,"Califórnia, EUA",Mountain View,Grid Dynamics,2018-11-14 13:42:54.453237,-,0,0,0.0
Lead Web Application Engineer,"javascript, microservices, architecture, reactjs, java",,Reino Unido,London,Zuhlke Engineering Ltd,2018-11-14 13:42:54.453237,£,24,35,29.5
Web Designer,"javascript, design, user-interface, html, css",,Suécia,Stockholm,Curity AB,2018-11-14 13:42:54.453237,-,0,0,0.0
Java Entwickler (m/w/d),"java, java-ee, ejb, jpa, jsf",,Alemanha,Karlsruhe,L-Bank,2018-11-14 13:42:54.453237,-,0,0,0.0
Software Engineer – Java/Microservices/Big Data,"java, python, sql",,Reino Unido,Glasgow,JP Morgan Chase,2018-11-14 13:42:54.453237,-,0,0,0.0
Software Architect,"java, mobile, node.js","Visa sponsor, Paid relocation",United Arab Emirates,Abu Dhabi,Algorythma,2018-11-14 13:42:54.453237,-,0,0,0.0
Front-end Developer (React + Redux),"javascript, reactjs, redux, flowtype, jruby","Visa sponsor, Paid relocation",Finland,Helsinki,RELEX,2018-11-14 13:42:54.453237,-,0,0,0.0
Senior Expert IT Scrum Master (m/w),"scrum, agile, jira, ms-project, agile-project-management",On-site and limited remote,Alemanha,Düsseldorf,Vodafone GmbH,2018-11-14 13:42:54.453237,-,0,0,0.0
Expert IT QA Engineer (m/w),"qa, testing, automated-tests",On-site and limited remote,Alemanha,Düsseldorf,Vodafone GmbH,2018-11-14 13:42:54.453237,-,0,0,0.0
Software Entwickler (m/w),"c, c++, embedded",,Austria,Gumpoldskirchen,NOVOMATIC Gaming Industries GmbH,2018-11-14 13:42:54.453237,-,0,0,0.0
Softwareentwickler (m/w) für Robotik Safety,"embedded, c++, c, robotics, controls",,Alemanha,Esslingen am Neckar,Festo AG & Co. KG,2018-11-14 13:42:54.453237,-,0,0,0.0
PHP / Full Stack Developer (m/f),"php, symfony2, drupal, typo3, zend-framework",,Alemanha,Berlin,Aperto GmbH,2018-11-14 13:42:54.468861,-,0,0,0.0
C++ software developer,"c++, continuous-integration, qt","On-site and limited remote, Visa sponsor, Paid relocation",Holanda,Eindhoven,Code Careers,2018-11-14 13:42:54.468861,-,0,0,0.0
Senior Frontend Engineer,"reactjs, redux, stripe-payments",,Suíça,Zug,ricardo.ch,2018-11-14 13:42:54.468861,-,0,0,0.0
Software Developer C++ (m/w),"c++, c, opengl, embedded",,Austria,Gumpoldskirchen,NOVOMATIC Gaming Industries GmbH,2018-11-14 13:42:54.953204,€,11,18,14.5
(Senior) Intershop Entwickler (m/w/d),"java, intershop, progressive-web-apps, angularjs","On-site and limited remote, Paid relocation",Alemanha,Jena,Smart Commerce SE,2018-11-14 13:42:54.953204,€,14,29,21.5
Software Developer for Propulsion Test Systems,,,Suécia,Gothenburg,Volvo Car Corporation(Prd),2018-11-14 13:42:54.953204,-,0,0,0.0
NoSQL Datenbank Entwickler für Start up im Bereich Online-Lernen,"javascript, php, docker, kubernetes, google-cloud-platform",Remote,,,karriere tutor GmbH,2018-11-14 13:42:54.953204,-,0,0,0.0
Informatiker / Software-Ingenieur (m/w) Smart Metering,"java, spring, java-ee, itil, rest",,Alemanha,München,SWM Services GmbH,2018-11-14 13:42:54.953204,-,0,0,0.0
Technology Risk Assessor,sysadmin,"Remote, Paid relocation",Reino Unido,Bromley,Direct Line Group,2018-11-14 13:42:54.968807,-,0,0,0.0
Cyber Security Awareness Manager,"security, project-management",Paid relocation,Reino Unido,Bromley,Direct Line Group,2018-11-14 13:42:54.968807,-,0,0,0.0
Agiler Software-Entwickler (m/w) - verschiedene Erfahrungslevel,"java, spring, rest, microservices, javascript",On-site and limited remote,Alemanha,Bonn,tarent solutions GmbH,2018-11-14 13:42:54.968807,-,0,0,0.0
Cloud Solution Architect,"azure, gcp, cloudfoundry, amazon-web-services",Visa sponsor,Alemanha,Munich,mimacom group,2018-11-14 13:42:54.968807,-,0,0,0.0
Marketing Engineering - Frontend Developer,"javascript, css, html, angular, react",Paid relocation,Spain,Palma,trivago N.V.,2018-11-14 13:42:54.968807,-,0,0,0.0
"Java/Scala Developer, ready to do great work and learn with the experts?","java, scala, agile, docker, devops",Paid relocation,Australia,Deakin,Agile Digital,2018-11-14 13:42:54.968807,-,0,0,0.0
Software Engineer (Lua Fanatic),"lua, software-design, customization, scripting, feature-engineering",,Alemanha,Köln,inmation Software GmbH,2018-11-14 13:42:54.968807,-,0,0,0.0
Senior C++ Software Designer - Algorithms,"c, c++, linux, matlab, agile","Visa sponsor, Paid relocation",Holanda,Eindhoven,ASML,2018-11-14 13:42:54.968807,$,18,24,21.0
Software Engineer to help drive transformation with global client,"java, .net, continuous-integration, javascript, soap",,Reino Unido,London,Deloitte UK,2018-11-14 13:42:54.968807,-,0,0,0.0
Engineering Manager,"cloud, ruby-on-rails, node.js, javascript, reactjs",,Vietnam,Quận 4,ShopBack,2018-11-14 13:42:54.968807,-,0,0,0.0
Senior ANDROID DEVELOPER (m/w),"android, java, bitbucket, kotlin, continuous-integration",,Alemanha,Köln,ZWEIDENKER GmbH,2018-11-14 13:42:54.984429,-,0,0,0.0
Systemadministrator Medientechnik (m/w),"linux, sysadmin",,Austria,Gumpoldskirchen,NOVOMATIC Gaming Industries GmbH,2018-11-14 13:42:54.984429,-,0,0,0.0
Experienced C# Developer (GUI),"c#, user-interface, software-design, development-environment, ide",,Alemanha,Köln,inmation Software GmbH,2018-11-14 13:42:54.984429,-,0,0,0.0
Software Entwickler (m/w) für den Bereich Spieleentwicklung,c++,Paid relocation,Austria,Gumpoldskirchen,NOVOMATIC Gaming Industries GmbH,2018-11-14 13:42:54.984429,-,0,0,0.0
